name,price(USD),rating,image,price(NGN)
Apple iPhone X (iPhone 10) 64GB 256GB Unlocked Space Grey/Silver Good Condition,162.91,98.8,https://i.ebayimg.com/thumbs/images/g/TcIAAOSw77lihfZ~/s-l500.jpg,242410
Apple iPhone X 64GB &256GB Factory Unlocked Space Gray & SILVER,159.99,97.2,https://i.ebayimg.com/thumbs/images/g/YQYAAOSw-YBmFbU0/s-l500.jpg,238065
Apple iPhone X 64GB 256GB Factory Unlocked AT&T T-mobile Verizon Good,158.99,97.9,https://i.ebayimg.com/thumbs/images/g/yOsAAOSwZ~peHXI6/s-l140.jpg,236577
Apple iPhone X | XR | XS | XS Max - 64GB 128GB 256GB - Verizon GSM Unlocked AT&T,124.95,99.4,https://i.ebayimg.com/thumbs/images/g/4d0AAOSws0JlNsD~/s-l140.jpg,185926
"【Lowest Price Online】Apple iPhone X 64G/256G- 5.8 inches, A11 processor.",103.69,100,https://i.ebayimg.com/thumbs/images/g/zpIAAOSw1K5mOboM/s-l140.jpg,154291
【Lowest Price】Apple iPhone X 64G- There is Bluetooth function and WiFi function,102.99,100,https://i.ebayimg.com/thumbs/images/g/JGUAAOSwvZtmOFrS/s-l140.jpg,153249
【Full screen】Apple iPhone X 64G- Unlocked-Single SIM-Good condition-Used,103.69,100,https://i.ebayimg.com/thumbs/images/g/6hwAAOSwUxBmPbs0/s-l140.jpg,154291
Apple iPhone X 64GB Silver (Without Simlock),53.56,94.4,https://i.ebayimg.com/thumbs/images/g/5MAAAOSwrupmYuli/s-l140.jpg,79697
Apple iPhone X 64 GB Unlocked,118.5,99,https://i.ebayimg.com/thumbs/images/g/RR8AAOSwr1VmfFAy/s-l140.jpg,176328
Apple iPhone X 64GB Space Gray UNLOCKED Very Good,157.78,99.4,https://i.ebayimg.com/thumbs/images/g/rpAAAOSwbUxl-y~7/s-l140.jpg,234777
"Apple iPhone SE (2020, Gen 2) 128GB MX9T2X/A - White",121.52,100,https://i.ebayimg.com/thumbs/images/g/16cAAOSwjDVmdV4w/s-l140.jpg,180822
Apple iPhone X 256GB Factory Unlocked AT&T T-Mobile Verizon Very Good Condition,176.95,98.3,https://i.ebayimg.com/thumbs/images/g/G2gAAOSwDbVlAHfz/s-l140.jpg,263302
Apple iPhone X 64GB 256GB Factory Unlocked SmartPhone AT&T T-mobile Verizon,163.99,97.9,https://i.ebayimg.com/thumbs/images/g/HuQAAOSwn6RbkDmk/s-l140.jpg,244017
Apple iPhone X | XR | XS | XS Max - 64GB 128GB 256GB - Verizon GSM Unlocked AT&T,144.95,99.3,https://i.ebayimg.com/thumbs/images/g/uSMAAOSwyzZlzOCH/s-l140.jpg,215686
Apple iPhone 11 Pro - (Unlocked) - 256GB - A2160 - Good,269.0,97.6,https://i.ebayimg.com/thumbs/images/g/IkMAAOSwgmBknPSk/s-l140.jpg,400272
Open Box Apple iPhone X A1865 Fully Unlocked 256GB Silver,219.99,96.3,https://i.ebayimg.com/thumbs/images/g/SfUAAOSwrBFllJQe/s-l140.jpg,327345
Apple iPhone 11 - 128 GB - Black (Unlocked) (Single SIM) (CHECK DESCRIPTION),105.0,100,https://i.ebayimg.com/thumbs/images/g/Jj8AAOSw2Y1mdapm/s-l140.jpg,156240
Apple iPhone 11 - 64 GB - Black (Unlocked) (Single SIM),195.0,100,https://i.ebayimg.com/thumbs/images/g/H0wAAOSwobpmcz4~/s-l140.jpg,290160
Apple iPhone X - 64 GB - Gray (Unlocked) (CA) Excellent Condition,138.79,100,https://i.ebayimg.com/thumbs/images/g/tS0AAOSw11pmdkaz/s-l140.jpg,206520
Apple iPhone X 256G- Unlocked-Single SIM-Good condition-Used,103.69,100,https://i.ebayimg.com/thumbs/images/g/gG8AAOSwG29mPcFn/s-l140.jpg,154291
Apple iPhone XS - 64 GB - Gold (Unlocked) (Single SIM) - Healthy Battery,134.99,91.5,https://i.ebayimg.com/thumbs/images/g/3NkAAOSwGUBmc1oC/s-l140.jpg,200865
Apple iPhone X - 256 GB - Space Gray Unlocked MQA82LL/A Works Perfect circa 2017,126.0,100,https://i.ebayimg.com/thumbs/images/g/XOgAAOSwXOtma40g/s-l140.jpg,187488
Apple iPhone XR - 64GB 128GB 256GB - All Colors - Good Condition,131.0,98.9,https://i.ebayimg.com/thumbs/images/g/Hb8AAOSwX7FiayEv/s-l140.jpg,194928
